epoch,train_loss,train_dice,val_loss,val_dice
1,0.5852435445847289,0.4439804268352784,0.582834182750611,0.1389015469823022
2,0.4751627565665566,0.4667517072443807,0.4216010821539731,0.4700453251645564
3,0.400479098521366,0.5098136745580095,0.3715333498216101,0.6098776977353131
4,0.3712036323207647,0.5873901386343252,0.3634566049579353,0.6769441777030893
1,0.5858905533898062,0.4444671937177369,0.5491738553558078,0.4761904802506237
2,0.4928042962761123,0.4268255176230348,0.4630470394733406,0.5655940356273104
3,0.4226677396522902,0.5283411312177835,0.38769316225357,0.663313821995262
4,0.3804560177838864,0.5809135556864358,0.3701801297831393,0.6493711352869618
5,0.3679177064467897,0.6321044134970156,0.3598780244854944,0.6967555955717606
6,0.3569901906571548,0.6413727061590612,0.3539482420753865,0.7099425843251603
7,0.3569973775142215,0.6449488123227269,0.3694775402989416,0.7174769264065486
8,0.355962853473394,0.6461185222694293,0.3676373628633363,0.7034688390392277
9,0.3511414002299,0.6600519708862257,0.3454945441557183,0.6539150790609328
10,0.343080071935073,0.6788081429474094,0.3641202640941455,0.7197302863933146
11,0.3452306166870297,0.6705353106396186,0.3371380097454503,0.6797593502362705
12,0.3425252064483462,0.6645930096916401,0.3566383396142295,0.7229815177325221
13,0.3417194084471834,0.6778961626204802,0.3354950688690656,0.7050191529449963
14,0.3418493936214731,0.6910746514488378,0.3527996725890608,0.7168502255919433
15,0.3397366955220082,0.6683649351624469,0.3624924212428076,0.6059303808090009
16,0.3403170290813236,0.672640231573961,0.3335943136452919,0.7277960873075894
17,0.3397506443793291,0.670763717026703,0.3429762768071322,0.7138222046196461
18,0.3370333186741628,0.6927693254432677,0.3402354339403765,0.6813569187763191
19,0.3354466582016315,0.6807953458028445,0.3369143971995938,0.6063913175215324
20,0.3329392812875886,0.6995753335134353,0.3362910062340753,0.7358128045286451
21,0.3328701317541958,0.6911630664965076,0.3377724298320356,0.7247107508402587
22,0.3302096880277512,0.6941348789940669,0.3378155521516289,0.7144664406244244
23,0.333700270232759,0.6815916836819674,0.3271860063652552,0.7436507454230672
24,0.3270031547492341,0.7202868583983708,0.3328490223114689,0.6513414923135841
25,0.3308809359649611,0.6840504157761772,0.3332758890686645,0.667535117516915
26,0.3278180101760928,0.7151045346043888,0.329482819086739,0.7419470577012925
27,0.3293773414943502,0.6981435556228532,0.3295100274983616,0.6517679862500656
28,0.3245876266336348,0.6971997561418747,0.3410519178779352,0.7290696627903908
29,0.3257070589868516,0.7054050611862864,0.3304988370676125,0.7527985333331993
30,0.3265229883203234,0.7013166517675541,0.3336722444122036,0.6425203336846261
31,0.3251106065596632,0.7183802347495148,0.3263382684395072,0.7308821248866263
32,0.3258900939260122,0.7037459133868137,0.33421701356946,0.7640829004702114
33,0.3221477740516625,0.7272609660566007,0.3484119308801989,0.5513207540343377
34,0.3232734274756105,0.7157890930172817,0.3278553380763956,0.6902182763885885
35,0.3223949773478384,0.7141560738480094,0.3289116357807957,0.7162016287800812
36,0.3208881572390776,0.7202058807594479,0.3232090095545919,0.7077188793392408
37,0.3224032551552038,0.7004844423419108,0.3283837413016174,0.6414313105658249
38,0.3210345297048129,0.6719124863980931,0.3388679112928609,0.6650382572915442
39,0.3207207370375722,0.7113473738876649,0.3253114129017506,0.7653660543617749
40,0.3187712754262852,0.7012887919680617,0.3291507265308783,0.7048288608590761
1,0.5860327922309618,0.4451148626804567,0.5267302550020672,0.47619048025062377
2,0.48437949297032823,0.4429566854720499,0.441374358499334,0.40965179617472325
3,0.40385545261320055,0.5016163033672436,0.3775032658041233,0.5212103788850455
4,0.3675283666873843,0.5702706018826755,0.37801235413090106,0.6724675434510118
5,0.36024002182668974,0.5722304711170166,0.3457832993673427,0.6910636801095236
6,0.35244416487958147,0.6096623693536684,0.34874021840680924,0.5160578410226477
7,0.3511251636003892,0.5795235484326242,0.3482174624334134,0.4161715962133037
8,0.3497914307861748,0.5537427716012336,0.40745137521021424,0.6456859599610129
9,0.34373851317352583,0.588074674324009,0.3440081324605715,0.34725746764628956
10,0.34174893589912303,0.5627048497718937,0.34576445864513516,0.6035811264196906
11,0.33947336826222546,0.6026074808772813,0.3331919400287526,0.7150859305901187
12,0.33961967261112413,0.6025067058442605,0.3367625398650056,0.5728591269857827
13,0.3371027468322472,0.6055559121244103,0.33974625959637617,0.5648164579038051
14,0.3339569108666842,0.6280843881508903,0.33818693177419756,0.6569155947793097
15,0.3360136291929014,0.594291705380887,0.34603979837681564,0.4577099283965914
16,0.33632017175034845,0.6144053736035688,0.3323197785676235,0.5772665362381483
17,0.33316846589504745,0.6135455675336775,0.33711062203205766,0.7163561412266323
18,0.33064560052683006,0.6327123872056375,0.3322317439486228,0.6397878306341314
19,0.3309476534049437,0.6096860111083399,0.3278708603410494,0.6736559935268902
20,0.32879702426454566,0.6266496657437228,0.33436201166893753,0.5652373199119568
21,0.33253261979688636,0.60930247522784,0.333930379356302,0.7222973819201192
22,0.32744399369380633,0.6319630653109353,0.33306815723578137,0.7647244079659382
23,0.32615550353621264,0.6713478328639003,0.3252785609857667,0.7186126826951901
24,0.3238173580964921,0.6407594712014396,0.32689275446214844,0.7304072417318821
25,0.32505455356419394,0.6393747561422248,0.3322653205222672,0.5861881951488157
26,0.326500997352631,0.6549548609906064,0.3244607563440998,0.6683898015568653
27,0.3223927872438814,0.6651486885281119,0.3250449936659563,0.7694975525318157
28,0.32099441541214063,0.6840223560931059,0.3267411636632113,0.748274564743042
29,0.32074783117042305,0.6435797784775085,0.3214423425185184,0.7492498720863036
30,0.3211918521016219,0.6805777440310516,0.3224965480732776,0.7321828149986302
31,0.31904231264724014,0.6825287537046345,0.3178930740271296,0.6303815704193854
32,0.3215139959914697,0.6321910605871983,0.3226675922716303,0.6871515224834501
33,0.31704908321790126,0.679782873176094,0.32463843526229974,0.7970438055940793
34,0.31557563319802284,0.7038552428231855,0.3206687177132283,0.727308834769896
35,0.3180015010016107,0.7241957565320867,0.3187469986843921,0.745635142461175
36,0.3160172178376215,0.6887321045039704,0.32118742139123024,0.670163779654784
37,0.31649803167566115,0.6825820931375314,0.3197241009079984,0.7468724060981047
38,0.31464234399826413,0.7267411169378869,0.32321971371060326,0.6856555564750341
39,0.3138560841313607,0.7189857086739274,0.3190433065894814,0.620353341377319
40,0.31296945066997117,0.720422709661087,0.31869563950403107,0.8015142374581637
41,0.3119711631648435,0.7496672589621396,0.32225599760810536,0.699008997973232
42,0.31437848319198186,0.7143099068503522,0.31615912457484574,0.7186509133094833
43,0.31149416524974793,0.7358567730324247,0.3169501793038632,0.7048167491507863
44,0.31017153552815396,0.7624164491223746,0.320133709016123,0.5976237749976212
45,0.3122094077941204,0.7537247348842948,0.316291282973474,0.7477590936579785
46,0.3089629627011446,0.744654508182113,0.315365814337773,0.7403825227479963
47,0.31079599773752564,0.7300620759243792,0.3111124009869638,0.7707441740092777
48,0.3076613708905914,0.7425448437941051,0.3161179723129386,0.7394428094405503
49,0.31017227631081573,0.7619629750934113,0.31511768270727425,0.7367196510590258
50,0.3090034164102275,0.7216568962896434,0.31824695055062574,0.7639741753893239
51,0.30738486525231073,0.7463610008204539,0.31245440983080436,0.7496476670993226
52,0.308503921061677,0.7649989925286312,0.31819204560347963,0.7796977840009189
53,0.306601387115649,0.7634039664052311,0.31260895451885606,0.7571354799327397
54,0.30589705477878837,0.7480634978533255,0.31762878479258644,0.7943629569240979
55,0.30821737894122464,0.7219347275233794,0.3079355058836795,0.7820341611901919
56,0.30501549132168293,0.7732175596328597,0.3238508035650566,0.8167053745392646
57,0.3053971327976396,0.765430433029029,0.3131381188563648,0.7977901619105112
58,0.30718923383271757,0.774903775496804,0.31733100699438227,0.7883851739156637
59,0.3042273936802859,0.768355896416569,0.3104305598618729,0.8147617429494858
60,0.30503304943519555,0.7686081488129388,0.30905487117845387,0.8059388197781074
61,0.30442603697778337,0.7640257969575842,0.3128945078434689,0.8164595111849762
62,0.3022557093998311,0.7856316911201403,0.3092002887500539,0.7976810837253219
63,0.303406598915013,0.7925313705375775,0.3130436293292968,0.8183569455785411
64,0.30594207686154956,0.7712187284285231,0.3173492033300655,0.7342162877321243
65,0.3017536696201007,0.8128173183360248,0.31106320877249044,0.7679605634794349
66,0.30571172493534077,0.792441030665074,0.3144891213714367,0.7324557715938205
67,0.3051204343321564,0.7748414245602998,0.3072596870007969,0.8120559026442823
68,0.3022461100216048,0.794775640563026,0.31015830402750344,0.774060957843349
69,0.30211175614340624,0.7901690942018144,0.30982962822807686,0.7726323324299994
70,0.30316996281976216,0.7963588780921358,0.3164197058372554,0.676416664203945
71,0.30255805633460303,0.7781518090497027,0.3164389692690401,0.7328037479448886
72,0.3019205049703313,0.799419647632794,0.31454700145072173,0.70581932614247
73,0.3028674479284435,0.8121425211429596,0.3228543977297488,0.7973371810678925
74,0.2992118878550635,0.8066954009350717,0.3184131499867709,0.7265084665727864
75,0.3007887868799385,0.8142543670581412,0.3179169813880608,0.8036395620474979
76,0.3008132380930408,0.7993819909315035,0.3150110387553771,0.8282992762224884
77,0.30423956028538046,0.8052724963488357,0.31365638448014144,0.7084314199037509
78,0.3012791611061195,0.795990494557613,0.3106371761255321,0.7666378235887914
79,0.2998543157980541,0.8019030148771451,0.306152616538817,0.8076625851293405
80,0.3005599473540338,0.8090189063796107,0.30929132233861656,0.8045915239268825
81,0.3015384108716033,0.8134641219606054,0.3174485627650505,0.5760589773716058
82,0.30259230947170235,0.7866740001297985,0.3139986009780495,0.7964546025863716
83,0.30102417838079326,0.7966440371358333,0.30587429810492767,0.8199744348724683
84,0.29932735260054855,0.7989406569479661,0.30907108674624134,0.8088509812951088
85,0.2994256251506083,0.7955467624522243,0.3103180337209432,0.7290599252830267
86,0.29921672301164254,0.770912869187954,0.3069039243495181,0.7773565751101289
87,0.2990463539050805,0.7986545598259862,0.307766599802389,0.8021691909858158
88,0.2990074670280045,0.8098375543643156,0.3123828056711881,0.813577422827837
89,0.3004822439943571,0.7946413236192471,0.31047475255937096,0.7788230498277006
90,0.2976628422563403,0.8236524609781299,0.3092446387967184,0.8257511760817752
91,0.30091775581240654,0.8045468872770126,0.3104729718927826,0.7878964833826536
92,0.3002588947935734,0.8122752344361241,0.3119833915538731,0.7974083033124251
93,0.30013582654722,0.8002664931311508,0.3148696736122171,0.7917522047999536
94,0.3003937597989727,0.7949992927476532,0.3062670536206237,0.7423884230000632
95,0.2998687331444087,0.8063536693626735,0.31887659594594014,0.7810457868590241
96,0.29896790470561213,0.810499727146922,0.30910659539291546,0.8111241491777557
97,0.29736318398710976,0.8106749645709374,0.3077306925940017,0.8048783081273237
98,0.30043897459312424,0.8181004636182686,0.30902427554662737,0.8378034541826873
99,0.2999023620541077,0.8071839702098481,0.30838745189387173,0.8483551937554564
100,0.29751950057484017,0.8226980755366192,0.30750416307931855,0.7957579270005226
